"pref","sex","born","died","origin","status","teacher","career","name","gogod_id","note","xref","runnerup","winner","matches","gostyle","title","birth_year","china","japan","korea","americas","europe","taiwan","australia","other","anywhere","language","player_id","is_bot","start_year","stop_year","n_games","year_range","is_sus"
"JP","Male","1845","1925-07-20","Kochi Prefecture, Japan","Japanese professional at the Hoensha from 1879.","Kajikawa Noboru, then Honinbo Shuwa (from 1866).","4d 1894 (from the Hoensha), 5d 1907 (and then returned to the Kansai), 6d 1914. First vice-president of the Ekishu-sha.","Abe Kamejiro","GGD0001",NA,NA,NA,NA,NA,NA,NA,1845,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"JP","da7wnr6uu",FALSE,1891,1926,18,35,FALSE
"JP","Male","1996-07-17",NA,"Hyogo Prefecture, Japan","Japanese professional with the Kansai Ki-in.","Hotta Yozo.","1d 2013, 2d 2017, 3d 2019, 4d 2022.","Abe Yoshiki","GGD4215",NA,NA,NA,NA,NA,NA,NA,1996,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"JP","vnafwfkq9",FALSE,1993,2024,64,31,FALSE
"JP","Male","1941-09-28","2009-10-25","Miyagi Prefecture, Japan","Japanese professional at the Nihon Ki-in Main (Tokyo) Branch.",NA,"Insei 1954, 1d 1960, 2d 1961, 3d 1962, 4d 1963, 5d 1964, 6d 1966, 7d 1970, 8d 1974, 9d 1986.","Abe Yoshiteru","GGD0004","Father of Abe Yumiko and father-in-law of Okada Shinichiro.",NA,NA,NA,NA,NA,NA,1941,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"JP","myywt2mv2",FALSE,1961,2006,71,45,FALSE
"JP",NA,NA,NA,NA,NA,NA,NA,"Abe Yumiko","GGD0005","Maiden name of Okada Yumiko 岡田結美子.","GGD0013",NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"JP","ze2i9aze8",FALSE,1981,2024,153,43,FALSE
"JP","Male","Showa period",NA,NA,"Japanese professional at the Nihon Ki-in.","Hashimoto Utaro.","Reached 3d.","Adachi Keiichiro","GGD0006",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"JP","a2nvf1cv8",FALSE,1939,1942,7,3,FALSE
"JP","Male",NA,NA,NA,"Japanese player.",NA,"Known as a 2d opponent of Ota Yuzo in 1822.","Adachi Shobee","GGD0007",NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"JP","g80gtxps9",FALSE,1822,1822,1,0,FALSE
"JP","Male","1991-04-15",NA,"Tokyo, Japan","Japanese professional at the Nihon Ki-in.","Komatsu Hideki.","1d 2009, 2d 2011, 3d 2014, 4d 2016, 5d 2018-01, 6d 2019, 7d 2020-01-01.","Adachi Toshimasa","GGD0009",NA,NA,"10th O-Kage (2019)",NA,NA,NA,NA,1991,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"JP","k488skpi1",FALSE,2001,2024,147,23,FALSE
"JP","Male","1936","2022-08-28, aged 85","Akita Prefecture, Japan","Go writer.",NA,NA,"Aiba Ikko","GGD0010","His name is properly read Aiba Kazuhiro あいば　かずひろ　but the polite reading Aiba Ikko is normal in the go world.",NA,NA,NA,NA,NA,NA,1936,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"JP","xjo542lnp",FALSE,1972,1972,1,0,FALSE
"JP","Male","1698","1776",NA,"Japanese professional of the Inoue school.","Inoue III (Dosetsu)",NA,"Aihara Kaseki","GGD0011","Though little is known of him personally, he was a leading player in the important events of the early 18th century when the go world was rocked by a challenge from the shogi players over precedence. The Honinbos had lost their star players to early deaths, and Shuhaku, next in line, was very young and barely 7d, yet (as Honinbo, in the absence of a Meijin) was ranked first in the Godokoro. He too died early, during a challenge match to create some face for himself. His death allowed the shogi players to press their claim for alternation of the Godokoro and Shogidokoro as head of the games world, with other heads in either game ranked according to seniority, rather than ranked by seniority in go first, with shogi players (apart from the Shogidokoro, who ranked behind the Godokoro) bringing up the rear. The shogi claims were strengthened by having an outstanding Shogidokoro in Ito Sokan and a shogi-loving Commissioner of Shrines & Temples (the Jisha Bugyo) at the time, Lord Inoue of Kochi. However, he died (in Iyo) at a critical time, and the decision on precedence was passed to his successor, Lord Okada Tadasuke of Echizen, who was a go fan. This was where Aihara came in. He had been introduced to the Shogun Ienobu as a go prodigy at the age of 12 and had been given a considerable stipend of 60 bushels of rice a year, 10 bushels higher than the family heads. He also had a splendid mansion in Mita. Ienobu was a lover of both go and shogi, and other young players of both games had been introduced to him at the same time (Tsubota Ganseki, plus shogi players Miyamoto Insa and Ariura Inri). But Aihara had a chance to shine above the others when the Ryukyuan mission visited Japan in 1711 and he handsomely defeated Yara no Satonushi. He had to take White and it was seen as a major responsibility. His play at 13 was considered worthy of a family head. He was an obvious candidate to play in castle games, but this was considered inappropriate because of his close connection with the shogun. Instead he devoted his efforts to training the young Honinbo. This, and his international victory, cemented go's leading position and the shogi challenge died out. His last known game was in 1763. He reached 7d but was largely lost to the go world through being obliged to serve Ienobu personally.",NA,NA,NA,NA,NA,NA,1698,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"JP","obaciqte0",FALSE,1710,1763,13,53,FALSE
"JP",NA,NA,NA,NA,NA,NA,NA,"Aizawa Kaoru","GGD0012","Maiden name of Nakayama Kaoru 中山薫","GGD2243",NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"JP","la52tsybn",FALSE,1981,2018,52,37,FALSE
