year,fe,fe_ci_ll,fe_ci_ul
1951,-1.11225794660965,-1.79420639289404,-0.430309500325256
1952,-1.62380176749512,-2.31697612248651,-0.930627412503731
1953,-1.94711773816447,-2.77231094758104,-1.1219245287479
1954,-2.33271700604162,-2.99121533649537,-1.67421867558787
1955,-2.1509096048974,-2.78856428720331,-1.51325492259149
1956,-2.72815750227538,-3.53959531590616,-1.91671968864461
1957,-2.39433618212425,-3.07002750391266,-1.71864486033585
1958,-2.89300637935354,-3.6946177830851,-2.09139497562198
1959,-2.7372478808261,-3.39164563523026,-2.08285012642193
1960,-2.58210715239581,-3.34571652880219,-1.81849777598944
1961,-2.42041607414304,-3.146948274204,-1.69388387408208
1962,-2.52478445599434,-3.26709192824,-1.78247698374867
1963,-2.29823707177623,-3.06884312135944,-1.52763102219301
1964,-2.84811693029073,-3.6273645346903,-2.06886932589117
1965,-2.54782094401256,-3.24378822429954,-1.85185366372558
1966,-3.06022150283071,-3.84334432835443,-2.27709867730699
1967,-3.81397637156425,-4.7124727672713,-2.91547997585719
1968,-3.72884642595258,-4.47666873098031,-2.98102412092484
1969,-3.35761199727235,-4.14410883062587,-2.57111516391882
1970,-3.27115187976115,-4.0828923350179,-2.4594114245044
1971,-2.66489844441612,-3.36573421327391,-1.96406267555832
1972,-2.86058470980314,-3.68122569829972,-2.03994372130656
1973,-2.85989059364181,-3.59336120255644,-2.12641998472718
1974,-2.90785612689737,-3.54726842890674,-2.26844382488801
1975,-3.17574780618743,-3.93352086084886,-2.41797475152599
1976,-3.28636001100985,-3.98287141430885,-2.58984860771085
1977,-3.42432315741613,-4.14208772606293,-2.70655858876932
1978,-3.64927727111597,-4.32952785062421,-2.96902669160772
1979,-3.69533627109555,-4.3664110157982,-3.0242615263929
1980,-4.0582141426821,-4.72421890503118,-3.39220938033302
1981,-4.29952582200588,-4.94398398581044,-3.65506765820133
1982,-4.8278139897513,-5.49324904907805,-4.16237893042455
1983,-4.21641213697616,-4.92791659795444,-3.50490767599788
1984,-4.27402922573262,-4.95800099053848,-3.59005746092677
1985,-4.43617638921958,-5.12647786714846,-3.74587491129071
1986,-4.84656215367344,-5.52487725589894,-4.16824705144795
1987,-4.90538598837507,-5.59856675027929,-4.21220522647085
1988,-4.49910526389977,-5.16514310941014,-3.83306741838941
1989,-4.54414466183402,-5.2065544659159,-3.88173485775213
1990,-4.92754062329668,-5.57621980895752,-4.27886143763585
1991,-4.92167529194076,-5.58228898077536,-4.26106160310617
1992,-5.32879549615632,-6.00489765053781,-4.65269334177483
1993,-4.95566949756903,-5.62621749532932,-4.28512149980874
1994,-5.32152476350879,-6.01383379099252,-4.62921573602505
1995,-5.44424642507979,-6.12636670699417,-4.76212614316542
1996,-5.24359267043297,-5.91965922161771,-4.56752611924824
1997,-5.09945123194084,-5.77414158442309,-4.4247608794586
1998,-5.15751723774825,-5.83190993115769,-4.48312454433882
1999,-4.87258962535517,-5.53456465409751,-4.21061459661283
2000,-5.06815485387848,-5.73546760731259,-4.40084210044438
2001,-4.80952557524348,-5.47709449351145,-4.14195665697551
2002,-5.04817533060838,-5.72295482913143,-4.37339583208533
2003,-5.06513261886936,-5.74813661439929,-4.38212862333943
2004,-4.73979254894846,-5.40766797224911,-4.07191712564781
2005,-5.02278846742942,-5.68702095542921,-4.35855597942964
2006,-4.7854597030746,-5.44389476719385,-4.12702463895536
2007,-5.0812049973564,-5.74232351872396,-4.42008647598884
2008,-5.28211855217352,-5.94123940018481,-4.62299770416224
2009,-5.41161067964086,-6.06620033806485,-4.75702102121686
2010,-5.69740581125844,-6.35252338037246,-5.04228824214442
2011,-5.87704507939091,-6.54849392943721,-5.20559622934461
2012,-6.27956213838374,-6.93747406084871,-5.62165021591876
2013,-5.95048133905353,-6.61809452149009,-5.28286815661697
2014,-6.36974574249554,-7.06103371437449,-5.67845777061659
2015,-6.34485609656867,-7.01422141384378,-5.67549077929355
2016,-6.40493721173898,-7.07576138107,-5.73411304240795
2017,-4.6051688160898,-5.26532578959465,-3.94501184258495
2018,-4.13751911061681,-4.78314814616038,-3.49189007507323
2019,-4.69098318509581,-5.34371113772296,-4.03825523246867
2020,-5.16562472388665,-5.82911747541314,-4.50213197236016
2021,-5.04957875427938,-5.72683803444687,-4.37231947411189
