month_index,fe,fe_ci_ll,fe_ci_ul
2,-0.985587258462447,-2.0698053098783,0.0986307929534011
3,-2.11634875061569,-2.7496587031893,-1.48303879804208
4,-3.14898632572959,-3.79452323947997,-2.50344941197922
5,-0.353963554087343,-1.53761532565907,0.829688217484384
6,-1.26339227015883,-1.99350347782187,-0.533281062495792
7,-1.47186013269169,-2.42846880735254,-0.515251458030838
8,-1.49145279516943,-2.53162829913843,-0.45127729120043
9,-1.41597206708833,-2.58801735200288,-0.243926782173784
11,-1.83924040230458,-3.18049570912815,-0.497985095481019
12,-3.42392511119748,-5.00999086885513,-1.83785935353982
14,-2.93595740618895,-3.80491973554114,-2.06699507683677
16,-1.3265640370203,-2.1828964610227,-0.4702316130179
17,-2.95433918731558,-4.02375255625385,-1.8849258183773
18,-3.60361698005349,-5.12459548243206,-2.08263847767492
19,-2.78137608748304,-3.62846620614091,-1.93428596882517
20,-0.379096418084822,-1.7726152243515,1.01442238818185
21,-1.23387257175704,-2.98171909965642,0.51397395614235
22,-2.23067957701267,-4.04599925454001,-0.415359899485337
23,-2.30610481188109,-3.23532054975839,-1.37688907400378
24,-2.28306881570176,-3.81052992085396,-0.755607710549557
25,-2.45847146984137,-3.43014586213674,-1.48679707754599
26,-2.82134672918883,-4.07930552424968,-1.56338793412799
27,-5.15558609323402,-7.92167463157896,-2.38949755488908
28,-2.39914468985582,-3.27281274367144,-1.5254766360402
29,-2.25901684663328,-3.38783390130677,-1.13019979195979
30,-5.8633811084848,-9.25206400518015,-2.47469821178946
31,-3.83593738859523,-5.33068475344324,-2.34119002374723
32,-5.00774330183623,-7.57260781431093,-2.44287878936154
33,-1.54884806535075,-2.50817468052801,-0.589521450173486
34,-3.04909762128569,-3.76236886882381,-2.33582637374757
35,-3.79841670175834,-5.32329285623659,-2.27354054728008
36,-1.97818764818812,-3.12071837447104,-0.835656921905186
37,-4.57482834646411,-5.80635796617452,-3.34329872675369
38,-4.31996407429273,-6.01505101351131,-2.62487713507414
39,-2.58448834168589,-4.01674554774304,-1.15223113562874
40,-2.72278974413777,-3.73965367998171,-1.70592580829384
41,-3.35237761238931,-4.50649648215253,-2.1982587426261
42,-2.90106856525813,-4.3444632776482,-1.45767385286807
