label,fe,fe_ci_ll,fe_ci_ul,year,fe_raw,fe_ci_ll_raw,fe_ci_ul_raw,segment,segment_population
1951,0.07726663308470155,-0.31408286350177217,0.4686161296711754,1951,0.079778764645468,-0.336351401722383,0.495908931013319,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1952,-0.17215667626437492,-0.5645751635155081,0.22026181098675818,1952,-0.185438296116783,-0.602705142784495,0.231828550550929,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1953,-0.003757963754070012,-0.3941640101309637,0.3866480826228243,1953,-0.0063763965505958,-0.421503372429902,0.408750579328711,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1954,-0.13131229178310014,-0.5454629343849315,0.2828383508187314,1954,-0.142007601411316,-0.58238270681067,0.298367503988038,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1955,-0.02459946920472078,-0.46233595907599534,0.4131370206665542,1955,-0.0285376084754447,-0.493992042285258,0.436916825334369,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1956,-0.2323762331966601,-0.6743652291713975,0.20961276277807742,1956,-0.249471019969522,-0.719447233129378,0.220505193190334,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1957,0.013755516284505822,-0.359271989468237,0.3867830220372488,1957,0.0122460558243295,-0.384401951602898,0.408894063251557,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1958,-0.14306249811546548,-0.5608635498054904,0.27473855357456034,1958,-0.154501843408797,-0.598758505714268,0.289754818896675,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1959,-0.11885285798371548,-0.505041309884117,0.26733559391668515,1959,-0.128759222903075,-0.539401541700966,0.281883095894815,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
1960,0.05307134456415322,-0.31191026804154276,0.41805295716984886,1960,0.0540514045103587,-0.334041235187863,0.44214404420858,historical_reconstructed_all_osf_players,all OSF players under reconstructed historical metric
